timestamp,latitude,longitude,ndvi,aod,lst,rainfall,temperature
2023-01-01 00:00:00.000,18.3229,72.8837,0.7081,0.4141,25.16,0.0,25.97
2023-01-01 00:52:33.600,14.0014,73.8418,0.7423,0.46,30.22,0.0,29.64
2023-01-01 01:45:07.200,25.8858,77.4121,0.7755,0.305,24.23,0.0,24.33
2023-01-01 02:37:40.800,13.6538,76.2613,0.6984,0.974,28.11,0.0,25.96
2023-01-01 03:30:14.400,28.2253,83.939,0.6703,0.0695,33.24,0.0,31.85
2023-01-01 04:22:48.000,19.1485,74.2845,0.7088,0.0656,25.9,0.0,29.1
2023-01-01 05:15:21.600,10.5826,73.4652,0.753,0.1763,37.04,0.0,34.18
2023-01-01 06:07:55.200,23.696,82.6156,0.8001,0.7332,25.43,0.0,24.2
2023-01-01 07:00:28.800,22.7403,80.8394,0.7513,0.6447,33.6,0.0,33.19
2023-01-01 07:53:02.400,19.3279,88.4225,0.7525,0.4616,28.84,0.0,29.52
2023-01-01 08:45:36.000,15.8817,70.688,0.7239,0.5477,33.41,0.0,32.23
2023-01-01 09:38:09.600,18.3789,81.2978,0.7991,0.2923,26.18,0.0,26.17
2023-01-01 10:30:43.200,16.2132,79.7818,0.7672,0.7667,25.65,0.0,25.57
2023-01-01 11:23:16.800,9.2408,83.0459,0.6684,0.8426,23.54,0.0,21.07
2023-01-01 12:15:50.400,22.5078,88.5605,0.7151,0.6251,31.03,4.8,33.39
2023-01-01 13:08:24.000,18.9106,86.7672,0.7379,0.9337,35.94,0.0,33.73
2023-01-01 14:00:57.600,28.4765,72.8098,0.668,0.2204,29.46,0.0,29.55
2023-01-01 14:53:31.200,26.8434,77.3004,0.7174,0.9506,22.24,0.0,26.95
2023-01-01 15:46:04.800,20.3176,89.2081,0.7468,0.4192,33.89,0.0,30.99
2023-01-01 16:38:38.400,12.9716,87.3242,0.6331,0.6051,35.25,0.0,32.92
2023-01-01 17:31:12.000,24.6135,78.1207,0.7265,0.0687,20.72,0.0,21.6
2023-01-01 18:23:45.600,15.5199,80.049,0.7419,0.9913,28.69,0.0,24.62
2023-01-01 19:16:19.200,23.8745,72.7838,0.698,0.748,22.45,0.0,23.77
2023-01-01 20:08:52.800,11.6342,82.7639,0.7013,0.9051,32.09,0.0,31.22
2023-01-01 21:01:26.400,29.4616,73.6034,0.5956,0.7063,29.34,0.0,27.44
2023-01-01 21:54:00.000,9.1987,81.1889,0.7136,0.5371,22.51,11.3,24.99
2023-01-01 22:46:33.600,21.1647,86.4583,0.7719,0.8171,29.76,0.0,29.47
2023-01-01 23:39:07.200,10.6429,72.5743,0.6873,0.249,27.85,19.1,27.72
2023-01-02 00:31:40.800,23.6266,85.7885,0.7517,0.0984,28.77,0.0,29.75
2023-01-02 01:24:14.400,12.4133,85.5344,0.6786,0.7847,35.7,0.0,31.33
2023-01-02 02:16:48.000,11.8686,81.7202,0.7113,0.6469,27.47,0.0,26.75
2023-01-02 03:09:21.600,25.6006,87.6337,0.7046,0.2611,34.66,0.0,30.35
2023-01-02 04:01:55.200,9.9414,73.0646,0.6336,0.4953,33.85,0.0,34.93
2023-01-02 04:54:28.800,24.0377,86.928,0.6787,0.5854,30.98,5.3,31.28
2023-01-02 05:47:02.400,11.6379,82.9619,0.625,0.8069,27.44,0.0,28.06
2023-01-02 06:39:36.000,20.8774,85.8781,0.7306,0.1462,27.47,6.7,24.78
2023-01-02 07:32:09.600,21.4717,80.4746,0.7267,0.2566,20.49,0.0,24.6
2023-01-02 08:24:43.200,10.9878,71.2063,0.7618,0.3408,27.29,3.9,30.44
2023-01-02 09:17:16.800,23.4581,88.8689,0.7123,0.611,28.21,0.0,29.41
2023-01-02 10:09:50.400,27.94,73.5948,0.6924,0.996,27.98,3.9,28.22
2023-01-02 11:02:24.000,11.7247,78.7858,0.8038,0.6208,21.61,0.0,25.05
2023-01-02 11:54:57.600,16.465,83.9835,0.7375,0.6832,32.33,0.0,28.95
2023-01-02 12:47:31.200,28.7725,88.3629,0.7028,0.6022,33.32,0.0,36.06
2023-01-02 13:40:04.800,8.2214,75.6287,0.7361,0.5652,41.14,0.0,38.49
2023-01-02 14:32:38.400,9.0198,86.0222,0.6598,0.0875,31.58,0.0,31.87
2023-01-02 15:25:12.000,23.2439,77.4741,0.7162,0.2308,26.43,0.0,27.09
2023-01-02 16:17:45.600,23.8295,76.4858,0.7951,0.9957,30.56,0.0,30.6
2023-01-02 17:10:19.200,15.582,77.7473,0.7938,0.9939,30.84,0.0,29.71
2023-01-02 18:02:52.800,20.3494,86.2085,0.7069,0.6407,33.49,0.0,32.86
2023-01-02 18:55:26.400,22.9457,72.9034,0.803,0.8409,30.23,0.0,32.92
2023-01-02 19:48:00.000,12.766,80.8014,0.7692,0.4399,22.82,0.0,24.09
2023-01-02 20:40:33.600,27.5082,72.6843,0.6499,0.8791,31.92,0.0,33.74
2023-01-02 21:33:07.200,13.6284,82.3093,0.728,0.0659,36.1,0.0,34.19
2023-01-02 22:25:40.800,21.9512,76.0139,0.7605,0.88,30.58,0.0,29.88
2023-01-02 23:18:14.400,28.3069,72.8829,0.718,0.4625,24.7,20.1,25.47
2023-01-03 00:10:48.000,13.9615,74.6857,0.7941,0.4421,26.82,0.0,29.4
2023-01-03 01:03:21.600,13.8242,70.819,0.6189,0.1577,34.48,0.0,34.71
2023-01-03 01:55:55.200,15.6825,86.4338,0.7171,0.5927,28.07,15.1,26.33
2023-01-03 02:48:28.800,19.4209,77.7084,0.6729,0.2012,29.83,21.6,28.9
2023-01-03 03:41:02.400,18.0668,78.7463,0.7592,0.399,24.59,5.4,23.75
2023-01-03 04:33:36.000,22.0011,74.0708,0.7205,0.6079,32.49,0.0,28.17
2023-01-03 05:26:09.600,9.7675,83.7741,0.7512,0.5064,30.95,0.0,29.67
2023-01-03 06:18:43.200,23.2616,80.7625,0.7655,0.2962,28.77,0.0,28.09
2023-01-03 07:11:16.800,11.0731,84.3029,0.6831,0.425,30.13,0.0,31.61
2023-01-03 08:03:50.400,11.5095,87.5948,0.658,0.5685,34.94,0.0,31.41
2023-01-03 08:56:24.000,26.7451,88.6665,0.7391,0.1526,32.12,0.0,30.46
2023-01-03 09:48:57.600,20.7987,85.6112,0.7842,0.502,24.09,0.0,27.25
2023-01-03 10:41:31.200,25.9516,76.5096,0.6743,0.7099,31.19,0.0,30.33
2023-01-03 11:34:04.800,20.5481,89.2325,0.741,0.066,26.27,0.0,27.95
2023-01-03 12:26:38.400,9.126,76.6069,0.7295,0.203,32.98,0.0,34.79
2023-01-03 13:19:12.000,11.7488,80.2569,0.7178,0.8917,33.78,0.0,33.68
2023-01-03 14:11:45.600,27.6215,80.7726,0.7011,0.1502,31.21,0.0,32.13
2023-01-03 15:04:19.200,27.2689,82.8245,0.7146,0.9297,26.54,0.0,27.36
2023-01-03 15:56:52.800,12.5102,72.1352,0.6785,0.4538,31.34,4.2,30.91
2023-01-03 16:49:26.400,20.3664,73.1936,0.6968,0.4134,23.61,0.0,26.58
2023-01-03 17:42:00.000,14.5168,84.5146,0.7778,0.175,32.27,0.0,31.28
